COMMUN|CPT COMMUN|COMPTE COMMUN|GOUETTA-BARAN|BARANES SACHA|BARANES GOUE,Contribution compte commun
PARIS HAB|HABITAT OPH|LOYER,Loyer
EVANCIA,Crèche
PHARMACIE|DR ISHAK|DR DAME|POINTGYN|JAVELO|PHIE DU|OPTICIEN|DENTISTE|INFIRMIER|CABINET,Santé
MACIF|ROEDERER SAS|SIMAX|MMA |AXA |MAAF|ALLIANZ,Assurance
EDF|ENEDIS|ENGIE|TOTAL ENERGIES,Électricité
FREE TELECOM|BOUYGUES|ORANGE|SFR|SOSH,Internet / Téléphone
NETFLIX|SPOTIFY|APPLE.COM|AMAZON PRIME|DISNEY|CANAL|DEEZER|GOVOYAGES,Abonnements
NAVIGO|RATP|SNCF|TRANSDEV|VELIB,Transport
TAXI|UBER |BOLT |KAPTEN|HEETCH,Transport
UBER   * EATS|DELIVEROO|JUST EAT|DOMINO|PIZZA|RESTAURANT|BRASSERIE|BISTROT|CAFE |TRAITEUR|SUSHI|RAMEN|KEBAB|BURGER|HIPPO|TMG ITALIE|PARIS BREIZH|YS TOLBIAC|RAMIO|ALLODONS|PRETAMANGER|AMJ ,Restaurants & Sorties
OPERA|THEATRE|CINEMA|MUSEE|BOWLING|KARTING|ESCAPE|CONCERT|SPECTACLE|ON PARTICIPE,Loisirs & Culture
L'HEURE DU PAIN|ERIC KAYSER|LE SON DU PAIN|BOULANGERIE|BRIOCHE,Boulangerie
FRANPRIX|CARREFOUR|NATURALIA|PICARD|BIOCOOP|METRO FRANCE|GRIBDISTRI|DISTRI|INTERMARCHE|LECLERC|AUCHAN|LIDL|ALDI|MONOPRIX|ED |LEADER PRICE|SIMPLY MARKET|CORA|HYPER|SUPER U|AUX GOURMANDS,Courses
IKEA|BRICORAMA|CASTORAMA|LEROY MERLIN|MAISONS DU MONDE|ZARA HOME|BUT |CONFORAMA|MURFY,Maison & Déco
EPARGNE|LIVRET|ASSURANCE VIE,Épargne
ASSURANCE DECOUVERT|FRAIS TENUE,Charges bancaires
